lead_time,model_name,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
T+1,RandomForest,0.19,0.9899543378995433,0.9731543624161074,0.9897610921501706,0.9813874788494078,0.999455286697931,0.9986929664689468,0.9898930149030154,794,8,3,290
T+1,RandomForest,0.2,0.9908675799086758,0.9764309764309764,0.9897610921501706,0.9830508474576272,0.999455286697931,0.9986929664689468,0.9905164562995242,795,7,3,290
T+1,RandomForest,0.21,0.9908675799086758,0.9764309764309764,0.9897610921501706,0.9830508474576272,0.999455286697931,0.9986929664689468,0.9905164562995242,795,7,3,290
T+1,RandomForest,0.22,0.9917808219178083,0.9797297297297297,0.9897610921501706,0.9847198641765704,0.999455286697931,0.9986929664689468,0.991139897696033,796,6,3,290
T+1,RandomForest,0.23,0.9917808219178083,0.9797297297297297,0.9897610921501706,0.9847198641765704,0.999455286697931,0.9986929664689468,0.991139897696033,796,6,3,290
T+1,RandomForest,0.24,0.9917808219178083,0.9797297297297297,0.9897610921501706,0.9847198641765704,0.999455286697931,0.9986929664689468,0.991139897696033,796,6,3,290
T+1,RandomForest,0.25,0.9917808219178083,0.9797297297297297,0.9897610921501706,0.9847198641765704,0.999455286697931,0.9986929664689468,0.991139897696033,796,6,3,290
T+1,RandomForest,0.26,0.9917808219178083,0.9797297297297297,0.9897610921501706,0.9847198641765704,0.999455286697931,0.9986929664689468,0.991139897696033,796,6,3,290
T+1,RandomForest,0.27,0.9917808219178083,0.9797297297297297,0.9897610921501706,0.9847198641765704,0.999455286697931,0.9986929664689468,0.991139897696033,796,6,3,290
T+1,RandomForest,0.28,0.9917808219178083,0.9797297297297297,0.9897610921501706,0.9847198641765704,0.999455286697931,0.9986929664689468,0.991139897696033,796,6,3,290
T+1,RandomForest,0.29,0.9926940639269406,0.9830508474576272,0.9897610921501706,0.9863945578231292,0.999455286697931,0.9986929664689468,0.9917633390925417,797,5,3,290
T+1,RandomForest,0.3,0.9926940639269406,0.9830508474576272,0.9897610921501706,0.9863945578231292,0.999455286697931,0.9986929664689468,0.9917633390925417,797,5,3,290
T+1,RandomForest,0.31,0.9926940639269406,0.9830508474576272,0.9897610921501706,0.9863945578231292,0.999455286697931,0.9986929664689468,0.9917633390925417,797,5,3,290
T+1,RandomForest,0.32,0.9926940639269406,0.9830508474576272,0.9897610921501706,0.9863945578231292,0.999455286697931,0.9986929664689468,0.9917633390925417,797,5,3,290
T+1,RandomForest,0.33,0.9926940639269406,0.9830508474576272,0.9897610921501706,0.9863945578231292,0.999455286697931,0.9986929664689468,0.9917633390925417,797,5,3,290
T+1,RandomForest,0.34,0.9926940639269406,0.9830508474576272,0.9897610921501706,0.9863945578231292,0.999455286697931,0.9986929664689468,0.9917633390925417,797,5,3,290
T+1,RandomForest,0.35,0.993607305936073,0.9863945578231292,0.9897610921501706,0.9880749574105622,0.999455286697931,0.9986929664689468,0.9923867804890504,798,4,3,290
T+1,RandomForest,0.36,0.9945205479452055,0.9897610921501706,0.9897610921501706,0.9897610921501706,0.999455286697931,0.9986929664689468,0.9930102218855591,799,3,3,290
T+1,RandomForest,0.37,0.9945205479452055,0.9897610921501706,0.9897610921501706,0.9897610921501706,0.999455286697931,0.9986929664689468,0.9930102218855591,799,3,3,290
T+1,RandomForest,0.38,0.9945205479452055,0.9897610921501706,0.9897610921501706,0.9897610921501706,0.999455286697931,0.9986929664689468,0.9930102218855591,799,3,3,290
T+1,RandomForest,0.39,0.9945205479452055,0.9897610921501706,0.9897610921501706,0.9897610921501706,0.999455286697931,0.9986929664689468,0.9930102218855591,799,3,3,290
T+1,RandomForest,0.4,0.9945205479452055,0.9897610921501706,0.9897610921501706,0.9897610921501706,0.999455286697931,0.9986929664689468,0.9930102218855591,799,3,3,290
T+1,RandomForest,0.41,0.9945205479452055,0.9897610921501706,0.9897610921501706,0.9897610921501706,0.999455286697931,0.9986929664689468,0.9930102218855591,799,3,3,290
T+1,RandomForest,0.42,0.9945205479452055,0.9897610921501706,0.9897610921501706,0.9897610921501706,0.999455286697931,0.9986929664689468,0.9930102218855591,799,3,3,290
T+1,RandomForest,0.43,0.9945205479452055,0.9897610921501706,0.9897610921501706,0.9897610921501706,0.999455286697931,0.9986929664689468,0.9930102218855591,799,3,3,290
T+1,RandomForest,0.44,0.993607305936073,0.9897260273972602,0.9863481228668942,0.9880341880341881,0.999455286697931,0.9986929664689468,0.9913037372439208,799,3,4,289
T+1,RandomForest,0.45,0.993607305936073,0.9897260273972602,0.9863481228668942,0.9880341880341881,0.999455286697931,0.9986929664689468,0.9913037372439208,799,3,4,289
T+1,RandomForest,0.46,0.993607305936073,0.9897260273972602,0.9863481228668942,0.9880341880341881,0.999455286697931,0.9986929664689468,0.9913037372439208,799,3,4,289
T+1,RandomForest,0.47,0.993607305936073,0.9897260273972602,0.9863481228668942,0.9880341880341881,0.999455286697931,0.9986929664689468,0.9913037372439208,799,3,4,289
T+1,RandomForest,0.48,0.993607305936073,0.9897260273972602,0.9863481228668942,0.9880341880341881,0.999455286697931,0.9986929664689468,0.9913037372439208,799,3,4,289
T+1,RandomForest,0.49,0.993607305936073,0.9897260273972602,0.9863481228668942,0.9880341880341881,0.999455286697931,0.9986929664689468,0.9913037372439208,799,3,4,289
T+1,RandomForest,0.5,0.9926940639269406,0.9896907216494846,0.9829351535836177,0.9863013698630136,0.999455286697931,0.9986929664689468,0.9895972526022827,799,3,5,288
T+1,RandomForest,0.51,0.9926940639269406,0.9896907216494846,0.9829351535836177,0.9863013698630136,0.999455286697931,0.9986929664689468,0.9895972526022827,799,3,5,288
